GO.Term.Accession,HGNC.symbol
GO:0031532,FGF7
GO:0008286,FGF7
GO:0048015,FGF7
GO:0009611,FGF7
GO:0007165,FGF7
GO:0008284,FGF7
GO:0051781,FGF7
GO:0008201,FGF7
GO:0005794,FGF7
GO:0060445,FGF7
GO:0050679,FGF7
GO:0008083,FGF7
GO:0045087,FGF7
GO:0038095,FGF7
GO:0005576,FGF7
GO:0005515,FGF7
GO:0008134,EBF4
GO:0006355,TCEB3CL2
GO:0003677,TCEB3CL2
GO:0006351,TCEB3CL2
GO:0005634,TCEB3CL2
GO:0016021,TCEB3CL2
GO:0005515,POTEC
GO:0006355,TCEB3CL
GO:0003677,TCEB3CL
GO:0006351,TCEB3CL
GO:0005634,TCEB3CL
GO:0016021,TCEB3CL
,SLC52A2
GO:0000275,ATP5E
GO:0005753,ATP5E
GO:0042776,ATP5E
GO:0044237,ATP5E
GO:0022904,ATP5E
